player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Austin Trammell,52195,WR,JAX,6,15.6,0,33.3,100.0,1,1,0,25.0,1,2,15,0,36.2,73.3,58.5,,56.5,0.0,0,2,18,0.0,0,51,0,3,96.1,49,51.0,26,11.6,9,0,49.0,25,46,0,0.0,15.3,0.94
Stone Smartt,60492,TE,NYJ,7,4.8,0,77.8,60.0,3,5,0,0.0,0,3,22,0,75.6,69.5,56.0,22.4,60.3,34.9,22,0,17,11.1,7,63,0,7,88.9,56,49.2,31,90.7,9,0,14.3,9,52,26,3.7,7.4,0.93
Harrison Bryant,26394,TE,HST,14,7.8,0,55.6,0.0,0,1,0,0.0,0,2,13,0,74.6,68.8,47.7,41.7,40.4,78.8,78,0,9,29.3,29,99,0,5,67.7,67,15.2,15,61.3,9,0,2.0,2,28,10,2.0,5.6,0.42
Robbie Chosen,11254,WR,WAS,3,14.2,1,55.6,25.0,1,4,0,0.0,0,2,32,0,73.4,68.0,62.3,,62.1,0.0,0,0,17,0.0,0,48,0,5,89.6,43,12.5,6,72.9,9,0,87.5,42,53,6,1.2,10.6,1.23
Adam Prentice,35639,FB,DEN,17,2.0,0,75.0,,0,0,0,14.3,1,3,10,0,49.2,75.3,50.0,86.2,53.6,13.3,12,0,14,27.8,25,90,0,6,71.1,64,6.7,6,92.2,8,0,18.9,17,53,44,7.3,8.8,0.83
Braxton Berrios,47961,WR,HST,3,2.9,3,75.0,0.0,0,1,0,0.0,0,3,13,0,74.6,75.5,60.2,,62.8,0.0,0,0,14,0.0,0,51,1,6,90.2,46,62.7,32,83.9,8,0,35.3,18,37,18,3.0,6.2,0.8
Jaylen Wright,146934,HB,MIA,9,-3.3,1,62.5,0.0,0,1,0,28.6,2,2,17,0,29.2,29.5,69.3,5.3,39.5,0.0,0,0,18,2.3,1,44,0,5,90.9,40,20.5,9,77.1,8,0,2.3,1,44,59,11.8,8.8,1.1
Skyy Moore,97116,WR,SF,15,15.5,2,62.5,100.0,1,1,0,0.0,0,5,28,0,73.4,90.1,63.6,,62.3,0.0,0,1,23,0.0,0,83,0,5,95.2,79,25.3,21,59.9,8,0,74.7,62,87,27,5.4,17.4,1.1
Miles Sanders,40555,HB,DAL,4,-1.6,3,100.0,,0,0,0,0.0,0,0,9,0,77.3,29.2,66.7,36.8,76.3,0.0,0,0,9,33.3,14,42,0,8,59.5,25,0.0,0,82.3,8,0,2.4,1,30,43,5.4,3.8,1.2
Trayveon Williams,45775,HB,CLV,5,-3.8,0,100.0,,0,0,0,0.0,0,2,8,0,76.5,79.1,59.7,50.1,63.5,7.6,5,0,26,18.2,12,66,0,8,78.8,52,3.0,2,95.3,8,0,6.1,4,55,85,10.6,6.9,1.06
